h2,ch4,c2h2,c2h4,c2h6
92600.0,10200.0,0.001,2.0,1.0
0.0,18900.0,330.0,540.0,410.0
8800.0,64064.0,0.001,95650.0,72128.0
5.26,0.001,66.4,28.2,0.001
10092.0,5399.0,37565.0,6500.0,530.0
3417.62,131.42,0.0,1.22,14.36
134.0,13.0,0.001,0.001,267.0
7020.0,1850.0,4410.0,2960.0,0.0
6.969,14.36,7105.007,0.391,4.852
8.489,3.213,19.801,13.134,5.111
6.805,21.004,16.832,0.692,7.725
13.599,6.167,0.276,3.187,7.048
3.89,3.915,7.095,14.793,16.08
5.168,9693.189,3.483,4938.609,8.78
3.89,14.078,14.075,3.581,4015.638
0.248,6991.227,19.119,6151.882,2.745
13.422,3.036,7.506,0.732,0.162
3.942,4.881,24.044,10.554,45.353
36.072,12.324,14.075,3.595,3.43
3.203,1.226,3.783,3.989,1.348
11.883,20.912,0.799,3.701,5.554
12.341,39.537,13.343,0.728,3.537
1.369,23.929,22.0,6481.167,8084.467
1.112,15.951,1.433,1.579,9.228
2490.805,28.227,6.149,17.641,4322.85
21.859,6.562,0.116,0.412,6.984
29.34,5.103,0.287,22.269,12.457
8.444,14.13,13.369,3.755,3.939
3.7,54.578,8.795,11.652,603.042
18.61,20.524,2.839,43.36,13.092
7.979,16.467,2.388,3.517,14.157
3.813,15.442,18.683,1.227,6.482
5.755,10.437,2.709,0.218,1.571
5.095,11.716,9553.105,3.956,22.435
1982.849,5788.145,0.933,3939.201,20.784
1.852,6.069,0.438,3.637,8805.047
0.782,17.723,2.123,12.002,0.142
0.841,7459.986,8.801,5311.996,21.152
1.401,2.373,0.239,5.881,1.04
9.357,19.658,0.099,0.957,3.472
10.797,23.212,1.529,28.3,10.438
0.343,6.985,10.269,33.827,36.344
17.717,6.083,151.936,17.105,9.013
3.421,917.216,0.276,6.647,41.751
0.512,4.17,6.391,1.04,14.062
0.61,5728.014,14.926,3.378,26.612
9.929,4251.554,13.235,7035.262,7874.653
5.94,7.913,4.156,2032.615,1.245
12.864,23.515,0.639,6.513,13.317
0.042,3.151,9.808,6817.109,9.433
1.187,0.642,7.591,8.269,4.076
2.406,2.69,5.467,3.733,7.453
2.779,12.487,2.204,24.604,6335.608
9.405,45.05,1.847,1.212,6.734
1.052,3.318,4.877,4.008,5.208
2.416,33.237,6.452,4.021,21.215
14.303,10.219,6.621,8.066,2.192
6.765,0.441,0.055,4.421,10.184
6.107,22.754,4.438,22.466,2.626
