h2,ch4,c2h2,c2h4,c2h6
92600.0,10200.0,0.001,2.0,1.0
0.0,18900.0,330.0,540.0,410.0
8800.0,64064.0,0.001,95650.0,72128.0
5.26,0.001,66.4,28.2,0.001
10092.0,5399.0,37565.0,6500.0,530.0
3417.62,131.42,0.0,1.22,14.36
134.0,13.0,0.001,0.001,267.0
7020.0,1850.0,4410.0,2960.0,0.0
2.011,6.108,1.43,0.218,12.34
27.515,0.459,2.908,0.427,1.781
1.184,8.403,8.083,5.86,8.709
9.656,8.462,8.455,14.74,7.475
24.559,11.098,16.743,4.907,2.252
5.003,9.533,13.339,3.472,13.448
9.175,3.871,8.935,27.441,20.17
3.477,4.15,3.656,8.726,1.088
4.104,2.194,1.082,4.755,1.466
2.0,12.176,4.792,11.51,31.44
17.75,17.54,9.49,24.056,25.046
12.422,0.7,13.073,21.225,4.392
10.696,6.231,8.16,8.227,6.797
10.48,2.798,1.039,14.223,7.29
11.67,0.243,2207.792,0.155,2.844
0.691,0.003,10.43,2.46,5.397
7.861,5.069,38.645,13.169,0.678
4.281,1.222,4.795,13.574,6.121
9.874,25.468,11.755,12.552,12.984
15.689,6.666,0.378,7.623,3.251
6.629,15.869,10.203,3.37,5.924
6.688,5.146,0.208,16.8,5.506
8.577,53.185,12.977,4.458,3.481
5.038,3.207,32.366,15.274,8.505
7.885,21.944,2.337,3.616,5.158
19.544,1.706,20.39,42.013,1.437
4.854,0.21,33.806,9.387,19.608
19.615,3.812,4.256,13.516,3.72
13.862,0.831,0.239,11.448,4.827
4.62,43.182,1.796,6.033,4.232
20.582,2.825,6.709,21.39,6.045
6.538,31.398,2.921,4.118,5.165
10.443,27.601,0.086,0.106,41.136
0.532,24.487,1.159,6.151,5.219
6.297,17.596,0.291,29.91,0.13
0.484,9.176,1.339,6.462,3.934
2.897,1.43,5.648,16.771,11.785
18.431,16.547,3.604,11.216,3.084
0.336,13.036,6.119,8.008,0.767
13.428,0.42,6.855,1.862,3.367
1.688,5.986,0.868,1.657,6.277
4.402,19.922,9.21,25.41,7.984
4.248,0.7,3.751,22.408,18.3
5.576,23.782,2.826,11.173,20.0
1.835,2.661,62.405,7.805,0.299
4.432,5.034,0.05,4.58,4.027
0.081,3.165,6.527,1.013,0.248
0.153,1.293,9.526,1.37,6.708
2.866,11.94,11.235,3.326,1.895
27.438,2.883,4.939,0.394,2.534
8.687,7.412,45.565,8.224,2.112
11.358,2.673,8.442,32.856,23.26
