h2,ch4,c2h6,c2h4,c2h2,act
2091.0,149.0,20.0,3.0,0.001,1
8200.0,3790.0,250.0,4620.0,277.0,3
75.0,15.0,7.0,14.0,250.0,3
530.0,345.0,85.0,266.0,21.0,3
60.0,5.0,2.0,21.0,32.0,3
5900.0,1500.0,68.0,1200.0,800.0,3
1.0,27.0,49.0,4.0,1.0,4
14.0,14.0,124.0,7.0,1.0,4
3420.0,7870.0,1500.0,6990.0,33.0,6
19.3,103.0,159.0,19.0,0.6,6
27.0,30.0,23.0,2.4,0.1,4
23.0,63.0,54.0,10.0,0.3,2
21.0,34.0,5.0,47.0,62.0,3
160.0,130.0,33.0,96.0,0.1,5
180.0,175.0,75.0,50.0,4.0,5
345.0,112.3,27.5,51.5,58.8,2
30.4,117.0,44.2,138.0,0.1,5
181.0,262.0,41.0,28.0,0.001,4
173.0,334.0,172.0,812.5,37.7,6
127.0,107.0,11.0,154.0,224.0,3
60.0,40.0,6.9,110.0,70.0,3
220.0,340.0,42.0,480.0,14.0,6
170.0,320.0,53.0,520.0,3.2,6
27.0,90.0,42.0,63.0,0.2,5
56.0,286.0,96.0,928.0,7.0,6
200.0,48.0,14.0,117.0,131.0,3
78.0,161.0,86.0,353.0,10.0,6
32.4,5.5,1.4,12.6,13.2,3
980.0,73.0,58.0,12.0,0.001,1
160.0,130.0,33.0,96.0,0.001,4
650.0,53.0,35.0,20.0,0.001,1
95.0,110.0,160.0,50.0,0.001,4
300.0,490.0,180.0,360.0,95.0,5
200.0,700.0,250.0,740.0,1.0,5
625.0,130.0,47.0,2.0,0.0001,4
56.0,61.0,75.0,32.0,31.0,1
1651.0,90.0,33.0,45.0,2.0,1
234.5,30.28,6.11,47.69,175.88,2
18.34,16.26,3.38,17.95,16.42,3
235.46,333.59,177.52,1201.85,148.87,3
505.57,475.35,242.3,524.45,3.29,4
36.0,30.0,10.0,93.0,7.1,6
